Date,Engine,Ticker,Entry,SL,Target,Qty,Capital,SignalType
2026-06-15,E1,WELCORP.NS,1381.0,1339.57,1454.19,36,49716.0,BUY
2026-06-15,E1,INOXINDIA.NS,1807.0,1752.79,1902.77,27,48789.0,BUY
2026-06-15,E1,MARKSANS.NS,249.87,242.37,263.11,199,49724.0,BUY
2026-06-15,E1,HSCL.NS,678.7,658.34,714.67,73,49545.0,BUY
2026-06-15,E1,LAURUSLABS.NS,1389.1,1347.43,1462.72,35,48618.0,BUY
2026-06-15,E1,TATACOMM.NS,1951.2,1892.66,2054.61,25,48780.0,BUY
2026-06-15,E1,VIJAYA.NS,1275.7,1237.43,1343.31,39,49752.0,BUY
2026-06-15,E3,ACUTAAS.NS,3100.0,3007.0,,,,BUY
2026-06-15,E3,ADANIENSOL.NS,1502.3,1457.23,,,,BUY
2026-06-15,E3,SOLARINDS.NS,17479.0,16954.63,,,,BUY
2026-06-15,E3,HSCL.NS,678.6,658.24,,,,BUY
2026-06-15,E4,NESTLEIND.NS,1377.9,1322.78,1456.44,,,BUY
2026-06-15,E5,APARINDS.NS,15911.0,14001.68,,,,BUY
2026-06-15,E5,INOXINDIA.NS,1809.8,1592.62,,,,BUY
2026-06-15,E5,SUPRIYA.NS,963.5,847.88,,,,BUY
2026-06-15,E5,SUDEEPPHRM.NS,791.7,696.7,,,,BUY
2026-06-15,E6,BALAMINES.NS,2122.9,2059.21,,,,BUY
2026-06-15,E6,RUBICON.NS,1303.8,1264.69,,,,BUY
2026-06-15,E6,GRWRHITECH.NS,6335.0,6144.95,,,,BUY
2026-06-15,E6,SUPRIYA.NS,963.5,934.6,,,,BUY
2026-06-15,E6,ANGELONE.NS,353.5,342.89,,,,BUY
2026-06-15,G1,GABRIEL.NS,1153.3,1101.4,1222.5,14,16146.2,BUY
2026-06-15,G1,TMCV.NS,409.35,390.93,433.91,40,16374.0,BUY
2026-06-15,G1,APARINDS.NS,15906.0,15190.23,16860.36,1,15906.0,BUY
2026-06-15,G1,CHOLAFIN.NS,1656.1,1581.58,1755.47,10,16561.0,BUY
2026-06-15,G1,SCHNEIDER.NS,1216.2,1161.47,1289.17,13,15810.6,BUY
2026-06-15,G1,SCHNEIDER.NS,1216.2,1161.47,1289.17,13,15810.6,BUY
