SnapshotDate,SnapshotTS,Rank,Ticker,Company,Sector,Score,Conviction,Entry ₹,SL ₹,Target ₹,Qty,Risk ₹,1M %,RSI,vs Nifty,Catalyst,Key Signal
2026-06-01,2026-06-01 13:34:10.699673,1,NUVAMA.NS,NUVAMA.NS,CAPITAL MARKET,79.0,5,1567.0,1501.0,1699.0,9.0,594.0,19.0,56.5,38.9,—,Above 50/200 DMA · RSI healthy (56) · MACD bull cross
2026-06-01,2026-06-01 13:34:10.699673,2,RRKABEL.NS,RRKABEL.NS,Cables,77.6,5,2077.8,1959.84,2313.73,7.0,826.0,17.0,64.3,46.4,—,Above 50/200 DMA · RSI healthy (64) · 1M return +17.0%
2026-06-01,2026-06-01 13:34:10.699673,3,ANGELONE.NS,ANGELONE.NS,CAPITAL MARKET,76.6,5,339.85,321.62,376.31,44.0,802.0,10.1,62.3,58.0,—,Above 50/200 DMA · RSI healthy (62) · 1M return +10.1%
2026-06-02,2026-06-02 12:22:34.115492,1,RRKABEL.NS,RRKABEL.NS,Cables,76.1,5,1990.9,1868.05,2236.6,7.0,860.0,11.5,53.3,39.0,—,Above 50/200 DMA · RSI healthy (53) · 1M return +11.5%
2026-06-02,2026-06-02 12:22:34.115492,2,HINDALCO.NS,HINDALCO.NS,Metals,75.8,5,1147.5,1101.35,1239.79,13.0,600.0,8.8,64.9,26.5,—,Above 50/200 DMA · RSI healthy (65) · 1M return +8.8%
2026-06-02,2026-06-02 12:22:34.115492,3,WELCORP.NS,WELCORP.NS,Metals,75.8,5,1359.1,1290.72,1495.86,11.0,752.0,8.4,51.0,71.7,—,Above 50/200 DMA · RSI healthy (51) · 1M return +8.4%
2026-06-03,2026-06-03 17:00:14.397842,1,RRKABEL.NS,RRKABEL.NS,Cables,76.4,5,2155.9,2029.84,2408.03,6.0,756.0,20.0,61.2,45.4,—,Above 50/200 DMA · RSI healthy (61) · 1M return +20.0%
2026-06-03,2026-06-03 17:00:14.397842,2,UNIVCABLES.NS,UNIVCABLES.NS,Cables,75.8,5,1189.9,1065.58,1438.54,12.0,1492.0,12.2,66.3,79.8,—,Above 50/200 DMA · 1M return +12.2% · 3M return +73.7%
2026-06-03,2026-06-03 17:00:14.397842,3,HINDALCO.NS,HINDALCO.NS,Metals,75.5,5,1138.9,1092.6,1231.49,13.0,602.0,8.9,57.9,23.2,—,Above 50/200 DMA · RSI healthy (58) · 1M return +8.9%
2026-06-04,2026-06-04 15:13:24.389789,1,UNIVCABLES.NS,UNIVCABLES.NS,Cables,76.3,5,1243.4,1112.1,1506.01,12.0,1576.0,15.5,71.0,96.9,—,Above 50/200 DMA · 1M return +15.5% · 3M return +86.0%
2026-06-04,2026-06-04 15:13:24.389789,2,VIJAYA.NS,VIJAYA.NS,Healthcare,76.0,5,1358.5,1257.13,1561.24,11.0,1115.0,14.1,58.6,47.5,—,Above 50/200 DMA · RSI healthy (59) · 1M return +14.1%
2026-06-09,2026-06-09 14:16:13.615370,1,ANGELONE.NS,ANGELONE.NS,CAPITAL MARKET,76.5,5,331.5,314.33,365.85,45.0,773.0,10.8,54.7,61.1,—,Above 50/200 DMA · RSI healthy (55) · 1M return +10.8%
2026-06-09,2026-06-09 14:16:13.615370,2,SOLARINDS.NS,SOLARINDS.NS,Defence,76.5,5,18339.0,17690.89,19635.21,1.0,648.0,17.7,52.3,30.6,—,Above 50/200 DMA · RSI healthy (52) · 1M return +17.7%
2026-06-09,2026-06-09 14:16:13.615370,3,GVT&D.NS,GVT&D.NS,Industrials,75.1,5,4936.5,4581.33,5646.84,3.0,1066.0,15.3,56.8,36.0,—,Above 50/200 DMA · RSI healthy (57) · 1M return +15.3%
2026-06-12,2026-06-12 14:55:00.789832,1,MAHABANK.NS,MAHABANK.NS,PSU Bank,75.8,5,86.78,83.49,93.37,172.0,566.0,12.9,71.4,39.0,—,Above 50/200 DMA · 1M return +12.9% · 3M return +31.3%
2026-06-15,2026-06-15 14:13:47.680840,1,ANGELONE.NS,ANGELONE.NS,CAPITAL MARKET,77.7,5,353.2,333.93,391.74,42.0,809.0,16.2,54.6,48.5,—,Above 50/200 DMA · RSI healthy (55) · 1M return +16.2%
2026-06-15,2026-06-15 14:13:47.680840,2,NUVAMA.NS,NUVAMA.NS,CAPITAL MARKET,77.7,5,1673.9,1595.77,1830.16,8.0,625.0,16.3,72.7,41.3,—,Above 50/200 DMA · MACD bull cross · 1M return +16.3%
2026-06-15,2026-06-15 14:13:47.680840,3,BHARATFORG.NS,BHARATFORG.NS,auto ancillary,77.3,5,2019.0,1939.93,2177.14,7.0,553.0,6.8,64.8,9.8,—,Above 50/200 DMA · RSI healthy (65) · MACD bull cross
